CUST NO.,XCOORD,YCOORD,DEMAND,READY TIME,DUE DATE,SERVICE TIME
1,40.0,50.0,0.0,0.0,1236.0,0.0
2,45.0,68.0,10.0,912.0,967.0,90.0
3,45.0,70.0,30.0,825.0,870.0,90.0
4,42.0,66.0,10.0,65.0,146.0,90.0
5,42.0,68.0,10.0,727.0,782.0,90.0
6,42.0,65.0,10.0,15.0,67.0,90.0
7,40.0,69.0,20.0,621.0,702.0,90.0
8,40.0,66.0,20.0,170.0,225.0,90.0
9,38.0,68.0,20.0,255.0,324.0,90.0
10,38.0,70.0,10.0,534.0,605.0,90.0
11,35.0,66.0,10.0,357.0,410.0,90.0
12,35.0,69.0,10.0,448.0,505.0,90.0
13,25.0,85.0,20.0,652.0,721.0,90.0
14,22.0,75.0,30.0,30.0,92.0,90.0
15,22.0,85.0,10.0,567.0,620.0,90.0
16,20.0,80.0,40.0,384.0,429.0,90.0
17,20.0,85.0,40.0,475.0,528.0,90.0
18,18.0,75.0,20.0,99.0,148.0,90.0
19,15.0,75.0,20.0,179.0,254.0,90.0
20,15.0,80.0,10.0,278.0,345.0,90.0
21,30.0,50.0,10.0,10.0,73.0,90.0
22,30.0,52.0,20.0,914.0,965.0,90.0
23,28.0,52.0,20.0,812.0,883.0,90.0
24,28.0,55.0,10.0,732.0,777.0,90.0
25,25.0,50.0,10.0,65.0,144.0,90.0
