,AAPL,MSFT,GOOGL,AMZN,META,TSLA,NFLX,NVDA,V,JNJ,JPM,PG,UNH,HD,DIS,MA,PEP,KO,PFE,XOM
AAPL,0.00922046925360728,0.004923901344082006,0.004993542292945164,0.006539608301708119,0.006903979758391046,0.017947423984071873,0.003957561468143424,0.008582179367536977,0.004838147367288759,0.0026467673739012003,0.003934265531814644,0.003027248873161172,0.0026977779226277387,0.004292057669079884,0.006477015680727291,0.006146022909595386,0.002904408243926111,0.0027342181440883533,0.003882917254481479,0.0038656461556285226
MSFT,0.004923901344082006,0.004643569117174657,0.004372769297738161,0.004831400918767344,0.007110022165284276,0.010417093461608826,0.003034364633477778,0.0072191939948836525,0.0031420114447668485,0.0017240806151151166,0.002653070030678745,0.002003380873062622,0.001936225038024055,0.003370281454938477,0.003334651235519065,0.0036235813162406702,0.0017139028770064599,0.001684788303427269,0.00252860882995007,0.0019502420968037415
GOOGL,0.004993542292945164,0.004372769297738161,0.005940324835110314,0.0050079725362202005,0.007690060829684783,0.011586500609280584,0.002323254729180993,0.006621815622631869,0.0042722056432747705,0.0024259793280469078,0.004206005508687033,0.0020981649524301413,0.0030324660247508617,0.004045879442677839,0.004933404061497166,0.004920640662795194,0.0023337267849327394,0.003018142072393651,0.004048700765282074,0.003964171438618659
AMZN,0.006539608301708119,0.004831400918767344,0.0050079725362202005,0.009162822302065301,0.007733968225045524,0.01656567534225817,0.003243584960097432,0.007645435393557684,0.002007177445578517,0.0016703780645869726,0.00110854821360418,0.0015147420623785994,0.002280532079974098,0.0033263448533332493,0.003608922276143455,0.0025598129271567696,0.001193124604174146,0.00041609273458077627,0.0035884944431113022,0.000925527188683368
META,0.006903979758391046,0.007110022165284276,0.007690060829684783,0.007733968225045524,0.022357769010800516,0.01848270349995838,0.001579699451095324,0.01040835773049312,0.00382835553134788,0.0031391307189796627,0.0037144571536823693,0.004373201822890126,0.002662217929591454,0.008387765233266247,0.0033658371530806905,0.005908951083327486,0.003073647640246375,0.0032879063902260305,0.007158745079960823,0.00092338564913062
TSLA,0.017947423984071873,0.010417093461608826,0.011586500609280584,0.01656567534225817,0.01848270349995838,0.059145797259935184,0.008513138002258074,0.01511998315567393,0.008956580918274015,0.006126066906980384,0.007884896538948874,0.0035496279122910973,0.005495332880549678,0.008212347674651638,0.01516183614163577,0.012205550042142061,0.004493974047192197,0.004416149869717426,0.005611611295365918,0.006219896479759136
NFLX,0.003957561468143424,0.003034364633477778,0.002323254729180993,0.003243584960097432,0.001579699451095324,0.008513138002258074,0.010489379414067397,0.0058771541556627525,0.0021957332975734824,0.0014790810940777366,0.0054083143891357965,0.0013623404316301627,0.0015691192238459102,0.0038289549277626973,0.005047973335525098,0.002415886706068596,0.0014703021668175922,0.0001501085406033897,0.001942169342202348,0.001530997557681558
NVDA,0.008582179367536977,0.0072191939948836525,0.006621815622631869,0.007645435393557684,0.01040835773049312,0.01511998315567393,0.0058771541556627525,0.020604511184652046,0.003831571258291788,0.0014212907950105701,0.004687965736491682,0.0030248855937033774,0.0010633284165203292,0.0061683908004309205,0.0029980166479778485,0.004938476518609041,0.0015868474412474639,0.0014785332725637823,0.007634691370392916,0.0011275093492203263
V,0.004838147367288759,0.0031420114447668485,0.0042722056432747705,0.002007177445578517,0.00382835553134788,0.008956580918274015,0.0021957332975734824,0.003831571258291788,0.006851960851613506,0.0030384550504153635,0.005779006708640222,0.002462281787229837,0.0034136091322929047,0.003453568160400631,0.006525680103640652,0.007840050125613666,0.0032816473645037366,0.004007960332071637,0.0024722599824822896,0.007426970386380982
JNJ,0.0026467673739012003,0.0017240806151151166,0.0024259793280469078,0.0016703780645869726,0.0031391307189796627,0.006126066906980384,0.0014790810940777366,0.0014212907950105701,0.0030384550504153635,0.0031124330585201214,0.0026289355563815357,0.0015943118995059623,0.002919200710901942,0.0021256205062777406,0.0034441464904608724,0.003629946803850429,0.0021179731030449528,0.0023134890249392006,0.002979095859137117,0.0029867608886054386
JPM,0.003934265531814644,0.002653070030678745,0.004206005508687033,0.00110854821360418,0.0037144571536823693,0.007884896538948874,0.0054083143891357965,0.004687965736491682,0.005779006708640222,0.0026289355563815357,0.009660702890479775,0.002190787801691029,0.0027038391928967892,0.0049052114449764156,0.00821802910155076,0.007029161525885444,0.0033434225113427034,0.0041106523802990095,0.003769615006547126,0.008677867239018604
PG,0.003027248873161172,0.002003380873062622,0.0020981649524301413,0.0015147420623785994,0.004373201822890126,0.0035496279122910973,0.0013623404316301627,0.0030248855937033774,0.002462281787229837,0.0015943118995059623,0.002190787801691029,0.003270081200542982,0.0020376044043836188,0.0033360978185296495,0.002383321807338125,0.003506625556561173,0.0022024987589664207,0.002542770181950216,0.002401756127939101,0.0011249658729604716
UNH,0.0026977779226277387,0.001936225038024055,0.0030324660247508617,0.002280532079974098,0.002662217929591454,0.005495332880549678,0.0015691192238459102,0.0010633284165203292,0.0034136091322929047,0.002919200710901942,0.0027038391928967892,0.0020376044043836188,0.004212212841663291,0.003007983448010076,0.0038968808308588116,0.003588509825099183,0.002777077194774354,0.002735424072360868,0.003403234393735922,0.002706781162230751
HD,0.004292057669079884,0.003370281454938477,0.004045879442677839,0.0033263448533332493,0.008387765233266247,0.008212347674651638,0.0038289549277626973,0.0061683908004309205,0.003453568160400631,0.0021256205062777406,0.0049052114449764156,0.0033360978185296495,0.003007983448010076,0.007336436803953291,0.0031225452725930805,0.0048315142712909796,0.0032097745188562716,0.0026865141550239664,0.005444009471696056,0.003184335788141695
DIS,0.006477015680727291,0.003334651235519065,0.004933404061497166,0.003608922276143455,0.0033658371530806905,0.01516183614163577,0.005047973335525098,0.0029980166479778485,0.006525680103640652,0.0034441464904608724,0.00821802910155076,0.002383321807338125,0.0038968808308588116,0.0031225452725930805,0.012492481042956622,0.007700948293385087,0.00347922280479165,0.004762759844526259,0.001750036967916329,0.007835619486108157
MA,0.006146022909595386,0.0036235813162406702,0.004920640662795194,0.0025598129271567696,0.005908951083327486,0.012205550042142061,0.002415886706068596,0.004938476518609041,0.007840050125613666,0.003629946803850429,0.007029161525885444,0.003506625556561173,0.003588509825099183,0.0048315142712909796,0.007700948293385087,0.009773812321294092,0.003910206905475206,0.005001541170705224,0.0033144642396082413,0.008631456593611147
PEP,0.002904408243926111,0.0017139028770064599,0.0023337267849327394,0.001193124604174146,0.003073647640246375,0.004493974047192197,0.0014703021668175922,0.0015868474412474639,0.0032816473645037366,0.0021179731030449528,0.0033434225113427034,0.0022024987589664207,0.002777077194774354,0.0032097745188562716,0.00347922280479165,0.003910206905475206,0.002694025995499645,0.0027216269593433626,0.002661017132906236,0.0036551635886575644
KO,0.0027342181440883533,0.001684788303427269,0.003018142072393651,0.00041609273458077627,0.0032879063902260305,0.004416149869717426,0.0001501085406033897,0.0014785332725637823,0.004007960332071637,0.0023134890249392006,0.0041106523802990095,0.002542770181950216,0.002735424072360868,0.0026865141550239664,0.004762759844526259,0.005001541170705224,0.0027216269593433626,0.004197883549326207,0.002071081990548431,0.004260011769478031
PFE,0.003882917254481479,0.00252860882995007,0.004048700765282074,0.0035884944431113022,0.007158745079960823,0.005611611295365918,0.001942169342202348,0.007634691370392916,0.0024722599824822896,0.002979095859137117,0.003769615006547126,0.002401756127939101,0.003403234393735922,0.005444009471696056,0.001750036967916329,0.0033144642396082413,0.002661017132906236,0.002071081990548431,0.010511355382232213,0.0018314656067364647
XOM,0.0038656461556285226,0.0019502420968037415,0.003964171438618659,0.000925527188683368,0.00092338564913062,0.006219896479759136,0.001530997557681558,0.0011275093492203263,0.007426970386380982,0.0029867608886054386,0.008677867239018604,0.0011249658729604716,0.002706781162230751,0.003184335788141695,0.007835619486108157,0.008631456593611147,0.0036551635886575644,0.004260011769478031,0.0018314656067364647,0.015751121206857746
